"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"1,Alex Abrines\abrinal01,SG,25,OKC,31,588,6.3,.507,.809,.083,0.9,7.8,4.2,4.4,1.3,0.9,7.9,12.3,,0.1,0.6,0.6,.053,,-2.5,-0.9,-3.4,-0.2"
"2,Quincy Acy\acyqu01,PF,28,PHO,10,123,2.9,.379,.833,.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,,-0.1,0.1,0.0,-0.019,,-5.7,-0.2,-5.9,-0.1"
"3,Jaylen Adams\adamsja01,PG,22,ATL,29,335,8.1,.520,.762,.095,2.8,12.2,7.4,19.3,1.0,1.0,19.4,13.2,,0.1,0.1,0.2,.031,,-2.2,-1.9,-4.1,-0.2"
"4,Steven Adams\adamsst01,C,25,OKC,75,2536,18.8,.596,.003,.361,14.4,14.8,14.6,6.8,2.1,2.3,12.6,16.4,,5.0,3.8,8.8,.167,,0.7,2.2,2.9,3.1"
"5,Bam Adebayo\adebaba01,C,21,MIA,77,1782,17.8,.623,.027,.480,9.3,23.8,16.6,14.6,1.7,3.1,17.4,15.7,,3.3,3.1,6.3,.170,,-0.6,3.5,2.9,2.2"
"6,Deng Adel\adelde01,SF,21,CLE,16,185,2.0,.387,.618,.059,1.1,9.4,5.1,3.6,0.3,1.9,12.5,9.4,,-0.2,0.0,-0.2,-0.065,,-5.7,-1.6,-7.3,-0.2"
"7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,8.3,.322,.400,.200,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,,-0.1,0.0,0.0,-0.048,,-4.3,0.7,-3.6,0.0"
"8,LaMarcus Aldridge\aldrila01,C,33,SAS,76,2531,22.7,.573,.031,.310,10.1,19.5,14.9,11.9,0.8,3.3,9.0,27.0,,5.9,2.6,8.5,.160,,1.1,0.4,1.5,2.2"
"9,Rawle Alkins\alkinra01,SG,21,CHI,6,42,11.8,.346,.313,.188,23.1,13.1,18.2,19.7,1.2,0.0,14.8,21.1,,0.0,0.0,0.0,-0.028,,-1.6,-1.5,-3.1,0.0"
"10,Grayson Allen\allengr01,SG,23,UTA,33,302,4.5,.465,.627,.356,0.4,3.5,2.0,8.4,0.6,0.8,11.7,21.9,,-0.4,0.3,-0.1,-0.022,,-4.5,-3.5,-8.0,-0.5"
"11,Jarrett Allen\allenja01,C,20,BRK,76,2007,18.6,.630,.081,.504,9.7,23.6,16.7,8.1,1.0,4.5,13.0,16.0,,4.2,3.1,7.3,.175,,-0.6,3.1,2.5,2.3"
"12,Kadeem Allen\allenka01,SG,26,NYK,18,387,15.7,.582,.252,.351,2.1,10.6,6.2,27.7,1.7,0.7,14.7,19.5,,0.7,0.2,0.8,.104,,0.3,-1.9,-1.6,0.0"
"13,Al-Farouq Aminu\aminual01,PF,28,POR,77,2196,13.1,.571,.473,.287,5.3,22.4,14.0,6.1,1.4,1.1,9.8,13.4,,2.9,2.6,5.5,.121,,0.1,0.9,0.9,1.6"
"14,Justin Anderson\anderju01,SF,25,ATL,43,364,11.3,.504,.481,.194,5.4,13.6,9.4,7.4,2.3,2.6,10.8,17.6,,0.0,0.3,0.3,.042,,-2.7,-0.5,-3.2,-0.1"
"15,Kyle Anderson\anderky01,SF,25,MEM,43,1281,12.8,.569,.123,.232,4.1,18.2,11.0,15.1,2.1,2.8,16.0,12.6,,0.8,1.9,2.7,.101,,-2.1,3.3,1.2,1.0"
"16,Ryan Anderson\anderry01,PF,30,TOT,24,321,4.6,.414,.580,.232,6.1,12.5,9.3,7.8,0.6,0.3,15.5,12.0,,-0.3,0.0,-0.2,-0.033,,-4.5,-1.9,-6.4,-0.4"
"16,Ryan Anderson\anderry01,PF,30,PHO,15,278,4.6,.423,.567,.233,5.5,12.5,9.0,8.1,0.5,0.3,15.4,12.1,,-0.2,0.0,-0.2,-0.036,,-4.4,-2.1,-6.5,-0.3"
"16,Ryan Anderson\anderry01,PF,30,MIA,9,43,4.6,.354,.667,.222,9.9,12.4,11.2,6.0,1.1,0.0,16.8,11.8,,0.0,0.0,0.0,-0.010,,-4.9,-0.9,-5.8,0.0"
"17,Ike Anigbogu\anigbik01,C,20,IND,3,6,-6.0,.000,.000,.000,19.0,36.3,27.8,19.4,0.0,14.8,25.0,29.2,,-0.1,0.0,-0.1,-0.478,,-22.6,8.5,-14.0,0.0"
"18,Giannis Antetokounmpo\antetgi01,PF,24,MIL,70,2299,30.5,.641,.158,.540,7.3,30.0,19.4,30.4,1.8,3.7,15.1,32.2,,8.3,5.4,13.8,.288,,5.5,5.0,10.5,7.3"
"19,Kostas Antetokounmpo\antetko01,PF,21,DAL,2,11,-0.8,.210,.000,1.333,0.0,9.7,4.9,0.0,8.8,0.0,17.4,22.5,,-0.1,0.0,-0.1,-0.247,,-15.9,2.7,-13.2,0.0"
"20,Carmelo Anthony\anthoca01,PF,34,HOU,10,294,11.0,.513,.529,.182,3.3,17.4,10.2,2.7,0.7,2.0,5.8,20.5,,0.1,0.2,0.3,.046,,-3.1,-2.9,-6.0,-0.3"
"21,OG Anunoby\anunoog01,SF,21,TOR,64,1301,10.0,.548,.500,.154,4.8,10.8,7.9,4.6,1.6,1.4,10.9,15.4,,0.4,1.6,2.0,.073,,-1.1,0.1,-1.0,0.3"
"22,Ryan Arcidiacono\arcidry01,PG,24,CHI,77,1862,11.3,.588,.536,.234,1.4,10.4,5.9,18.7,1.6,0.2,12.2,11.3,,2.6,0.8,3.4,.088,,-0.1,-1.0,-1.1,0.4"
"23,Trevor Ariza\arizatr01,SF,33,TOT,69,2349,12.1,.534,.590,.223,2.3,15.2,8.7,14.8,1.8,0.7,11.6,16.6,,1.3,1.3,2.6,.053,,-0.1,-0.4,-0.4,0.9"
"23,Trevor Ariza\arizatr01,SF,33,PHO,26,884,10.5,.525,.612,.189,2.0,16.4,9.1,13.5,2.1,0.8,13.7,13.8,,0.2,0.5,0.7,.037,,-1.2,0.3,-0.9,0.2"
"23,Trevor Ariza\arizatr01,SF,33,WAS,43,1465,13.0,.538,.580,.238,2.5,14.4,8.4,15.6,1.7,0.7,10.6,18.2,,1.1,0.8,1.9,.062,,0.6,-0.7,-0.2,0.7"
"24,D.J. Augustin\augusdj01,PG,31,ORL,77,2148,15.8,.619,.466,.318,1.9,7.4,4.6,26.8,1.1,0.2,13.8,17.1,,4.9,1.7,6.7,.149,,1.8,-2.0,-0.2,1.0"
"25,Deandre Ayton\aytonde01,C,20,PHO,71,2183,20.5,.608,.005,.217,11.2,26.1,18.5,9.7,1.3,2.5,11.7,21.2,,4.1,1.8,6.0,.131,,0.0,0.3,0.2,1.2"
"26,Dwayne Bacon\bacondw01,SG,23,CHO,38,610,11.8,.572,.324,.221,1.2,13.0,7.0,9.3,0.8,0.6,6.7,16.9,,0.7,0.2,1.0,.076,,-1.4,-2.3,-3.7,-0.3"
"27,Marvin Bagley\baglema01,PF,19,SAC,57,1427,19.2,.574,.128,.388,10.4,20.1,15.1,6.1,1.0,3.4,11.1,23.7,,2.1,1.6,3.6,.122,,-0.9,-0.4,-1.2,0.3"
"28,Ron Baker\bakerro01,SG,25,TOT,15,152,2.5,.309,.650,.300,0.7,7.2,3.8,12.8,1.9,0.6,18.1,7.7,,-0.2,0.1,-0.1,-0.034,,-5.8,-0.8,-6.6,-0.2"
"28,Ron Baker\bakerro01,SG,25,NYK,11,107,4.4,.376,.563,.375,1.0,6.1,3.4,16.1,2.2,0.0,13.9,8.6,,0.0,0.0,0.0,.002,,-4.6,-1.5,-6.1,-0.1"
"28,Ron Baker\bakerro01,SG,25,WAS,4,45,-2.0,.000,1.000,.000,0.0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,,-0.1,0.0,-0.1,-0.120,,-8.8,0.8,-8.0,-0.1"
"29,Wade Baldwin\baldwwa01,PG,22,POR,16,94,1.3,.396,.273,.333,2.3,14.4,8.5,16.7,0.5,1.7,27.0,23.3,,-0.4,0.1,-0.3,-0.153,,-9.3,-1.4,-10.7,-0.2"
